Date,Close/Last,Volume,Open,High,Low,Day 
06/22/2020,$99.51,6918184,$96.85,$99.54,$96.02,356
07/17/2020,$96.28,7406714,$96.95,$97.23,$96.04,357
07/21/2020,$98.36,5857099,$96.92,$99.00,$96.10,358
09/15/2023,$96.26,10467340,$98.15,$98.15,$96.13,359
07/28/2020,$96.27,3822584,$96.95,$97.47,$96.16,360
09/12/2023,$96.30,6307698,$96.99,$97.17,$96.18,361
11/10/2022,$99.49,9361010,$96.33,$99.68,$96.23,362
07/13/2020,$96.46,4845621,$98.25,$98.94,$96.26,363
07/29/2020,$96.97,6872745,$96.43,$97.55,$96.30,364
07/31/2020,$97.61,5510394,$96.89,$97.65,$96.30,365
07/09/2020,$96.99,6282261,$98.55,$98.91,$96.37,366
08/23/2023,$98.75,20909070,$96.98,$99.19,$96.55,367
08/04/2020,$97.33,7539319,$97.79,$97.95,$96.55,368
09/11/2023,$96.79,7584681,$98.33,$98.38,$96.58,369
06/24/2024,$97.17,9466888,$97.30,$98.04,$96.68,370
09/28/2022,$98.70,9423349,$97.11,$99.43,$96.76,371
07/27/2020,$97.21,4273442,$96.96,$98.40,$96.89,372
07/07/2020,$97.07,6352887,$99.22,$99.55,$96.92,373
05/29/2020,$98.58,10333350,$98.19,$99.25,$96.93,374
07/08/2020,$98.84,5634590,$97.50,$98.98,$96.96,375
07/16/2020,$97.26,3595025,$97.50,$98.23,$97.04,376
03/06/2024,$97.63,10045280,$100.00,$100.10,$97.06,377
08/05/2020,$100.94,7227111,$97.12,$101.25,$97.08,378
07/01/2020,$97.40,5733768,$98.50,$98.72,$97.11,379
10/10/2023,$97.62,8499017,$97.25,$98.86,$97.23,380
09/08/2023,$97.67,6435533,$98.10,$98.13,$97.28,381
07/15/2020,$98.54,5343651,$98.41,$99.04,$97.31,382
08/24/2023,$97.63,10310040,$98.70,$99.19,$97.56,383
05/27/2020,$99.87,7915885,$98.12,$99.99,$97.62,384
09/07/2023,$97.93,9927060,$98.26,$98.76,$97.64,385
03/07/2024,$98.19,8133866,$97.99,$98.40,$97.68,386
07/24/2020,$98.43,5638435,$98.14,$99.36,$97.70,387
